Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
2/7/2009,Assam,Guwahati,Head Office,Residential and others,15,48,239,449
2/10/2009,Assam,Guwahati,Head Office,Residential and others,16.8,32.3,246,454
2/11/2009,Assam,Guwahati,Head Office,Residential and others,18.3,43.3,267,380
2/12/2009,Assam,Guwahati,Head Office,Residential and others,9.8,23.3,233,622
13/2/2009,Assam,Guwahati,Head Office,Residential and others,11.3,30.5,273,525
16/2/2009,Assam,Guwahati,Head Office,Residential and others,15.5,35.8,250,431
17/2/2009,Assam,Guwahati,Head Office,Residential and others,13.8,30.3,231,381
18/2/2009,Assam,Guwahati,Head Office,Residential and others,24.8,30.5,182,318
19/2/2009,Assam,Guwahati,Head Office,Residential and others,8.3,26.3,199,339
20/2/2009,Assam,Guwahati,Head Office,Residential and others,15,27.5,216,420
21/2/2009,Assam,Guwahati,Head Office,Residential and others,13,32.3,246,663
23/2/2009,Assam,Guwahati,Head Office,Residential and others,11,21,307,949
24/2/2009,Assam,Guwahati,Head Office,Residential and others,12.5,32.8,517,1124
25/2/2009,Assam,Guwahati,Head Office,Residential and others,10.3,20.3,252,836
26/2/2009,Assam,Guwahati,Head Office,Residential and others,8.5,32,266,494
27/2/2009,Assam,Guwahati,Head Office,Residential and others,19.3,19.3,389,814
3/2/2009,Assam,Guwahati,Head Office,Residential and others,30.3,32.8,359,980
3/3/2009,Assam,Guwahati,Head Office,Residential and others,30.8,29.3,317,533
3/4/2009,Assam,Guwahati,Head Office,Residential and others,9.5,20.8,253,549
3/5/2009,Assam,Guwahati,Head Office,Residential and others,14.3,27.8,253,423
3/6/2009,Assam,Guwahati,Head Office,Residential and others,9.5,21.5,790,1300
3/7/2009,Assam,Guwahati,Head Office,Residential and others,12.3,14.3,308,649
3/9/2009,Assam,Guwahati,Head Office,Residential and others,6.3,8.8,355,794
3/10/2009,Assam,Guwahati,Head Office,Residential and others,8,12.5,236,451
13/3/2009,Assam,Guwahati,Head Office,Residential and others,10.8,16.3,474,911
16/3/2009,Assam,Guwahati,Head Office,Residential and others,5.8,24.4,304,548
17/3/2009,Assam,Guwahati,Head Office,Residential and others,9,26.3,368,620
18/3/2009,Assam,Guwahati,Head Office,Residential and others,18.5,29,299,526
19/3/2009,Assam,Guwahati,Head Office,Residential and others,10,23.8,307,557
20/3/2009,Assam,Guwahati,Head Office,Residential and others,14.3,25.3,283,628
21/3/2009,Assam,Guwahati,Head Office,Residential and others,14.8,19,214,424
23/3/2009,Assam,Guwahati,Head Office,Residential and others,16,24,185,294
24/3/2009,Assam,Guwahati,Head Office,Residential and others,15.8,31.5,237,435
25/3/2009,Assam,Guwahati,Head Office,Residential and others,17,23.8,189,380
26/3/2009,Assam,Guwahati,Head Office,Residential and others,22.8,34.3,258,448
27/3/2009,Assam,Guwahati,Head Office,Residential and others,12.8,27.5,91,149
30/3/2009,Assam,Guwahati,Head Office,Residential and others,3.3,22.3,190,312
31/3/2009,Assam,Guwahati,Head Office,Residential and others,18,46.8,119,245
4/1/2009,Assam,Guwahati,Head Office,Residential and others,8,16.5,62,109
4/2/2009,Assam,Guwahati,Head Office,Residential and others,5.3,23.5,266,398
4/3/2009,Assam,Guwahati,Head Office,Residential and others,3.5,16.5,111,194
4/4/2009,Assam,Guwahati,Head Office,Residential and others,9.8,22.8,65,83
4/6/2009,Assam,Guwahati,Head Office,Residential and others,9.8,29.5,126,197
4/7/2009,Assam,Guwahati,Head Office,Residential and others,10.8,23.5,138,221
4/8/2009,Assam,Guwahati,Head Office,Residential and others,11,23.8,229,391
4/9/2009,Assam,Guwahati,Head Office,Residential and others,9.5,20.8,161,335
13/4/2009,Assam,Guwahati,Head Office,Residential and others,8.5,26,178,360
17/4/2009,Assam,Guwahati,Head Office,Residential and others,7.5,22,136,288
18/4/2009,Assam,Guwahati,Head Office,Residential and others,8,20.3,122,270
20/4/2009,Assam,Guwahati,Head Office,Residential and others,9.8,16.3,81,171
21/4/2009,Assam,Guwahati,Head Office,Residential and others,9.3,14.5,67,125
27/4/2009,Assam,Guwahati,Head Office,Residential and others,15.8,22.3,155,360
28/4/2009,Assam,Guwahati,Head Office,Residential and others,13.3,30.5,150,323
29/4/2009,Assam,Guwahati,Head Office,Residential and others,18.5,21.5,123,229
30/4/2009,Assam,Guwahati,Head Office,Residential and others,7.3,16.3,121,270
5/2/2009,Assam,Guwahati,Head Office,Residential and others,6.3,11.6,88,153
5/4/2009,Assam,Guwahati,Head Office,Residential and others,10,19.3,107,227
5/5/2009,Assam,Guwahati,Head Office,Residential and others,8.3,16.8,112,230
5/6/2009,Assam,Guwahati,Head Office,Residential and others,4.3,12.3,94,147
5/7/2009,Assam,Guwahati,Head Office,Residential and others,9.3,18,100,174
5/8/2009,Assam,Guwahati,Head Office,Residential and others,9.8,18.8,96,175
5/11/2009,Assam,Guwahati,Head Office,Residential and others,9.8,16.3,67,114
5/12/2009,Assam,Guwahati,Head Office,Residential and others,7.5,14.5,97,155
13/5/2009,Assam,Guwahati,Head Office,Residential and others,2.8,8.6,94,151
14/5/2009,Assam,Guwahati,Head Office,Residential and others,NA,5.6,80,151
15/5/2009,Assam,Guwahati,Head Office,Residential and others,7,16,102,204
16/5/2009,Assam,Guwahati,Head Office,Residential and others,4.8,15,94,160
18/5/2009,Assam,Guwahati,Head Office,Residential and others,6.3,14.5,142,235
19/5/2009,Assam,Guwahati,Head Office,Residential and others,9.3,22.3,154,388
20/5/2009,Assam,Guwahati,Head Office,Residential and others,9.8,22.5,123,233
21/5/2009,Assam,Guwahati,Head Office,Residential and others,6.5,15.5,64,111
22/5/2009,Assam,Guwahati,Head Office,Residential and others,13,17.8,74,148
25/5/2009,Assam,Guwahati,Head Office,Residential and others,9.5,15.8,34,54
26/5/2009,Assam,Guwahati,Head Office,Residential and others,6.8,17.8,30,53
27/5/2009,Assam,Guwahati,Head Office,Residential and others,6,13,112,207
28/5/2009,Assam,Guwahati,Head Office,Residential and others,4.8,12,60,113
29/5/2009,Assam,Guwahati,Head Office,Residential and others,5.8,11.5,86,108
30/5/2009,Assam,Guwahati,Head Office,Residential and others,5.3,12.8,98,174
6/1/2009,Assam,Guwahati,Head Office,Residential and others,6.8,15.5,65,107
6/2/2009,Assam,Guwahati,Head Office,Residential and others,7,15.8,88,134
6/3/2009,Assam,Guwahati,Head Office,Residential and others,6.5,13.8,65,109
6/4/2009,Assam,Guwahati,Head Office,Residential and others,6.5,13.3,67,116
6/5/2009,Assam,Guwahati,Head Office,Residential and others,5.8,8.4,132,173
6/6/2009,Assam,Guwahati,Head Office,Residential and others,8.3,17.3,62,100
